billID,tenantID,amount,description,dueDate,status,created_at,updated_at
1001,110,2900,,2025/12/17,verified,2025/12/17 09:15:32,2025/12/17 09:15:32
1002,106,3300,,2025/12/18,verified,2025/12/18 08:39:55,2025/12/18 08:39:55
1003,107,2900,,2025/12/20,verified,2025/12/20 14:14:28,2025/12/20 14:14:28
1004,104,3300,,2025/12/22,verified,2025/12/22 13:25:40,2025/12/22 13:25:40
1005,105,2900,,2025/12/25,verified,2025/12/25 11:48:02,2025/12/25 11:48:02
1006,113,2900,,2026/01/27,pending,2026/01/23 10:22:59,2026/01/23 13:14:33
1007,112,2900,,2026/01/16,paid,2026/01/16 09:30:21,2026/01/16 09:30:21
1008,109,3300,,2026/01/12,verified,2026/01/12 08:12:44,2026/01/12 08:12:44
1009,111,2900,,2026/01/10,verified,2026/01/17 15:10:11,2026/01/18 08:35:00
1010,110,2900,,2026/01/17,paid,2026/01/17 14:45:27,2026/01/17 14:45:27
1011,107,2900,,2026/01/20,verified,2026/01/20 13:12:09,2026/01/21 09:30:01
1012,108,3300,,2026/01/20,pending,2026/01/20 11:25:44,2026/01/20 11:25:44
1013,106,3300,,2026/01/18,verified,2026/01/18 10:03:55,2026/01/19 08:20:18
1014,105,2900,,2026/01/25,pending,2026/01/21 09:42:10,2026/01/21 12:05:47
1015,104,3300,,2026/01/22,paid,2026/01/22 08:15:32,2026/01/22 08:15:32
